Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
51.0,0.9979166666666667,1.0,81.0,49.0,21.250017,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
51.0,0.9979166666666667,1.0,66.0,49.0,21.250017,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
51.0,0.9979166666666667,1.0,67.0,49.0,21.250017,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
51.0,0.9979166666666667,1.0,74.0,49.0,21.250017,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
52.0,3.997916666666667,1.0,52.0,49.0,21.666684,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
53.0,0.9979166666666667,1.0,83.0,49.0,22.083351,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
53.0,0.9979166666666667,1.0,67.0,49.0,22.083351,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
53.0,0.9979166666666667,1.0,72.0,49.0,22.083351,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
53.0,0.9979166666666667,1.0,76.0,49.0,22.083351,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
54.0,0.9979166666666667,1.0,81.0,49.0,22.500018,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
54.0,0.9979166666666667,1.0,67.0,49.0,22.500018,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
54.0,0.9979166666666667,1.0,72.0,49.0,22.500018,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
54.0,0.9979166666666667,1.0,76.0,49.0,22.500018,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
55.0,0.9979166666666667,1.0,83.0,49.0,22.916685,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
55.0,0.9979166666666667,1.0,67.0,49.0,22.916685,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
55.0,0.9979166666666667,1.0,72.0,49.0,22.916685,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
55.0,0.9979166666666667,1.0,76.0,49.0,22.916685,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
56.0,3.997916666666667,1.0,52.0,88.0,23.333352,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
57.0,0.9979166666666667,1.0,84.0,88.0,23.750019,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
57.0,0.9979166666666667,1.0,69.0,88.0,23.750019,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
57.0,0.9979166666666667,1.0,74.0,88.0,23.750019,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
57.0,0.9979166666666667,1.0,78.0,88.0,23.750019,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
58.0,0.9979166666666667,1.0,83.0,88.0,24.166686,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
58.0,0.9979166666666667,1.0,69.0,88.0,24.166686,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
58.0,0.9979166666666667,1.0,74.0,88.0,24.166686,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
58.0,0.9979166666666667,1.0,78.0,88.0,24.166686,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
59.0,0.9979166666666667,1.0,84.0,88.0,24.583353,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
59.0,0.9979166666666667,1.0,69.0,88.0,24.583353,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
59.0,0.9979166666666667,1.0,74.0,88.0,24.583353,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
59.0,0.9979166666666667,1.0,78.0,88.0,24.583353,0.41579894375,4/4,4,4,1,G,major,143.99988480009216
60.0,3.997916666666667,1.0,52.0,88.0,25.00002,1.6657999437500002,4/4,4,4,1,G,major,143.99988480009216
62.0,1.9979166666666666,1.0,102.0,62.0,25.833354,0.8324659437499999,4/4,4,4,1,G,major,143.99988480009216
62.0,1.9979166666666666,1.0,107.0,62.0,25.833354,0.8324659437499999,4/4,4,4,1,G,major,143.99988480009216
